19:47:28.201211 exec-cmd.c:266          trace: resolved executable dir: C:/Users/BC898DL/AppData/Local/Programs/Git/mingw64/bin
19:47:28.219126 git.c:502               trace: built-in: git push -u origin main
19:47:28.219126 run-command.c:673       trace: run_command: GIT_DIR=.git git remote-https origin https://Kai23-dev@github.com/Kai23-dev/GCP_Multiagent_Sandbox.git
19:47:28.219126 run-command.c:934       trace: start_command: git remote-https origin https://Kai23-dev@github.com/Kai23-dev/GCP_Multiagent_Sandbox.git
19:47:28.317885 exec-cmd.c:266          trace: resolved executable dir: C:/Users/BC898DL/AppData/Local/Programs/Git/mingw64/libexec/git-core
19:47:28.317885 git.c:810               trace: exec: git-remote-https origin https://Kai23-dev@github.com/Kai23-dev/GCP_Multiagent_Sandbox.git
19:47:28.317885 run-command.c:673       trace: run_command: git-remote-https origin https://Kai23-dev@github.com/Kai23-dev/GCP_Multiagent_Sandbox.git
19:47:28.317885 run-command.c:934       trace: start_command: git-remote-https origin https://Kai23-dev@github.com/Kai23-dev/GCP_Multiagent_Sandbox.git
19:47:28.432411 exec-cmd.c:266          trace: resolved executable dir: C:/Users/BC898DL/AppData/Local/Programs/Git/mingw64/libexec/git-core
19:47:28.450193 http.c:968              == Info: Could not find host github.com in the .netrc file; using defaults
19:47:28.453035 http.c:968              == Info: Host github.com:443 was resolved.
19:47:28.453035 http.c:968              == Info: IPv6: (none)
19:47:28.453035 http.c:968              == Info: IPv4: 20.207.73.82
19:47:28.453035 http.c:968              == Info:   Trying 20.207.73.82:443...
19:47:28.501338 http.c:968              == Info: schannel: disabled automatic use of client certificate
19:47:28.501338 http.c:968              == Info: ALPN: curl offers http/1.1
19:47:28.751837 http.c:968              == Info: ALPN: server did not agree on a protocol. Uses default.
19:47:28.751837 http.c:968              == Info: Established connection to github.com (20.207.73.82 port 443) from 192.168.1.2 port 54229 
19:47:28.751837 http.c:968              == Info: using HTTP/1.x
19:47:28.751837 http.c:915              => Send header, 0000000214 bytes (0x000000d6)
