Account,Oracle Super Category,Oracle Category,PRISM Commodity Level 1,PRISM Commodity Level 2,PRISM Commodity Level 3,PRISM Commodity Level 4,PRISM Commodity Level 5,iProc Product Category,PRISM Commodity Name,Category Name,Commodity Level,Account,Financial Class,Special Reporting,Purchase Type,Change Type
1899,"Property, Plant & Equipment",Fixed Asset Suspense,Dialysis Equipment & Supplies,Dialysis Equipment,CRRT Machines (1899),,,,CRRT Machines (1899),CRRT Machines ,L3,1899 - Fixed Asset Suspense,000 - N/A - General,00000 - N/A,Direct,None
1899,"Property, Plant & Equipment",Fixed Asset Suspense,Dialysis Equipment & Supplies,Dialysis Equipment,Dialysis Machine - Acute (1899),,,DIALYSIS MACHINE - ACUTE,Dialysis Machine - Acute (1899),Dialysis Machine - Acute ,L3,1899 - Fixed Asset Suspense,000 - N/A - General,00000 - N/A,Direct,Add
1899,"Property, Plant & Equipment",Fixed Asset Suspense,Dialysis Equipment & Supplies,Dialysis Equipment,Dialysis Machine (1899),,,DIALYSIS MACHINE,Dialysis Machine (1899),Dialysis Machine ,L3,1899 - Fixed Asset Suspense,000 - N/A - General,00000 - N/A,Direct,Add
1899,"Property, Plant & Equipment",Fixed Asset Suspense,Dialysis Equipment & Supplies,Dialysis Equipment,HHD Machines (1899),,,,HHD Machines (1899),HHD Machines ,L3,1899 - Fixed Asset Suspense,000 - N/A - General,00000 - N/A,Direct,None
1899,"Property, Plant & Equipment",Fixed Asset Suspense,Dialysis Equipment & Supplies,Dialysis Equipment,ICHD Machines (1899),,,,ICHD Machines (1899),ICHD Machines ,L3,1899 - Fixed Asset Suspense,000 - N/A - General,00000 - N/A,Direct,None
1899,"Property, Plant & Equipment",Fixed Asset Suspense,Dialysis Equipment & Supplies,Dialysis Equipment,Machine (1899),,,MACHINE,Machine (1899),Machine ,L3,1899 - Fixed Asset Suspense,000 - N/A - General,00000 - N/A,Direct,Add
1899,"Property, Plant & Equipment",Fixed Asset Suspense,Dialysis Equipment & Supplies,Dialysis Machines/Water Treatment Systems,Fixed Asset Suspense (1899),,,,Fixed Asset Suspense (1899),Fixed Asset Suspense ,L3,1899 - Fixed Asset Suspense,000 - N/A - General,00000 - N/A,Direct,None
2150,Current Liabilities,Accounts Payable,Dialysis Equipment & Supplies,PD/HHD Supplies Equipment & Expenses,PD Accruals (2150),,,,PD Accruals (2150),PD Accruals ,L3,2150 - PD Monthly Accrual,000 - N/A - General,00000 - N/A,Direct,None
2150,Current Liabilities,Accounts Payable,"PD/HHD Supplies, Equipment & Expenses",Home Dialysis,PD Monthly Accrual (2150),,,,PD Monthly Accrual (2150),PD Monthly Accrual ,L3,2150 - PD Monthly Accrual,000 - N/A - General,00000 - N/A,Direct,None
6240,Employee Benefits & Related Costs,"EE Physical, Lab, Other",Lab,External Lab,Employee Labs (6240),,,,Employee Labs (6240),Employee Labs ,L3,6240 - EE Lab,000 - N/A - General,00000 - N/A,Direct,None
6300,Medical Supplies,Anemia Management,Pharma,Anemia Medications,EPO (6300),,,PHARMA - EPOGEN (ESA),EPO (6300),EPO ,L3,6300 - EPO Expense,000 - N/A - General,00000 - N/A,Direct,None
6303,Medical Supplies,Mircera Expense,Pharma,Anemia Medications,Mircera (6303),,,PHARMA - MIRCERA,Mircera (6303),Mircera ,L3,6303 - Mircera Expense,000 - N/A - General,00000 - N/A,Direct,None
6304,Medical Supplies,Anemia Management,Pharma,Anemia Medications,Jesduroq (6304),,,JESDUROQ,Jesduroq (6304),Jesduroq ,L3,6304 - Oral Anemia Expense,000 - N/A - General,00000 - N/A,Direct,Add
6304,Medical Supplies,Anemia Management,Pharma,Anemia Medications,Oral Anemia Expense (6304),,,,Oral Anemia Expense (6304),Oral Anemia Expense ,L3,6304 - Oral Anemia Expense,000 - N/A - General,00000 - N/A,Direct,None
6305,Medical Supplies,Anemia Management,Pharma,Anemia Medications,Aranesp (6305),,,PHARMA - ARANESP,Aranesp (6305),Aranesp ,L3,6305 - Aranesp Expense,000 - N/A - General,00000 - N/A,Direct,None
6310,Medical Supplies,Calcijex,Pharma,Vitamin D Medications,Calcijex (6310),,,,Calcijex (6310),Calcijex ,L3,6310 - Calcijex Expense,000 - N/A - General,00000 - N/A,Direct,None
6310,Medical Supplies,Calcijex,Pharma,Vitamin D Medications,Pharma - Vitamin D Calcitriol (6310),,,PHARMA - VITAMIN D CALCITRIOL,Pharma - Vitamin D Calcitriol (6310),Pharma - Vitamin D Calcitriol ,L3,6310 - Calcijex Expense,000 - N/A - General,00000 - N/A,Direct,Add
6320,Medical Supplies,Infed,Pharma,Iron Medications,Infed (6320),,,,Infed (6320),Infed ,L3,6320 - Infed Expense,000 - N/A - General,00000 - N/A,Direct,None
6325,Medical Supplies,Zemplar,Pharma,Vitamin D Medications,Zemplar (6325),,,PHARMA - VITAMIN D (ZEMPLAR),Zemplar (6325),Zemplar ,L3,6325 - Zemplar Expense,000 - N/A - General,00000 - N/A,Direct,None
6330,Medical Supplies,Ferrlecit,Pharma,Iron Medications,Ferrlecit (6330),,,PHARMA - IRON (FERRLECIT),Ferrlecit (6330),Ferrlecit ,L3,6330 - Ferrlecit Expense,000 - N/A - General,00000 - N/A,Direct,None
6333,Medical Supplies,Calcimimetic,Pharma,Calcimimetics,Intravenous Calcimimetics (6333),,,,Intravenous Calcimimetics (6333),Intravenous Calcimimetics ,L3,6333 - Intravenous Calcimimetic Expense,000 - N/A - General,00000 - N/A,Direct,None
6333,Medical Supplies,Calcimimetic,Pharma,Calcimimetics,Pharma - ParsabIV (6333),,,PHARMA - PARSABIV,Pharma - ParsabIV (6333),Pharma - ParsabIV ,L3,6333 - Intravenous Calcimimetic Expense,000 - N/A - General,00000 - N/A,Direct,Add
6335,Medical Supplies,Venofer Expense,Pharma,Iron Medications,Venofer (6335),,,PHARMA - IRON (VENOFER),Venofer (6335),Venofer ,L3,6335 - Venofer Expense,000 - N/A - General,00000 - N/A,Direct,None
6345,Medical Supplies,Calcimimetic,Pharma,Calcimimetics,Oral Calcimimetics (6345),,,,Oral Calcimimetics (6345),Oral Calcimimetics ,L3,6345 - Oral Calcimimetic Expense,000 - N/A - General,00000 - N/A,Direct,None
6345,Medical Supplies,Calcimimetic,Pharma,Calcimimetics,Pharma - Cinacalcet (6345),,,PHARMA - CINACALCET,Pharma - Cinacalcet (6345),Pharma - Cinacalcet ,L3,6345 - Oral Calcimimetic Expense,000 - N/A - General,00000 - N/A,Direct,Add
6355,Medical Supplies,Oral Phospate Binders Expense,Pharma,General Medications,Oral Phosphate Binders Expense (6355),,,PHOSPHATE BINDER,Oral Phosphate Binders Expense (6355),Oral Phosphate Binders Expense ,L3,6355 - Oral Phosphate Binders Expense,000 - N/A - General,00000 - N/A,Direct,None
6380,Medical Supplies,Other Drugs,Pharma,Routine Pharmacy Expense,Antibiotics (6380),,,ANTIBIOTICS,Antibiotics (6380),Antibiotics ,L3,6380 - Routine Pharmacy Expense,000 - N/A - General,00000 - N/A,Direct,None
6380,Medical Supplies,Other Drugs,Pharma,General Medications,Influenza Vaccines (6380),,,,Influenza Vaccines (6380),Influenza Vaccines ,L3,6380 - Routine Pharmacy Expense,000 - N/A - General,00000 - N/A,Direct,None
6380,Medical Supplies,Other Drugs,Pharma,Other Pharma,Routine Pharmacy Expense,Additive (6380),,ADDITIVE,Additive (6380),AdditIVe ,L4,6380 - Routine Pharmacy Expense,000 - N/A - General,00000 - N/A,Direct,Add
6380,Medical Supplies,Other Drugs,Pharma,Other Pharma,Routine Pharmacy Expense,Disenfectant Alcavis (6380),,DISENFECTANT ALCAVIS,Disenfectant Alcavis (6380),Disenfectant Alcavis ,L4,6380 - Routine Pharmacy Expense,000 - N/A - General,00000 - N/A,Direct,Add
6380,Medical Supplies,Other Drugs,Pharma,Other Pharma,Routine Pharmacy Expense,Handling Fee (6380),,HANDLING FEE,Handling Fee (6380),Handling Fee ,L4,6380 - Routine Pharmacy Expense,000 - N/A - General,00000 - N/A,Direct,Add
6380,Medical Supplies,Other Drugs,Pharma,Other Pharma,Routine Pharmacy Expense,Ointment (6380),,OINTMENT,Ointment (6380),Ointment ,L4,6380 - Routine Pharmacy Expense,000 - N/A - General,00000 - N/A,Direct,Add
6380,Medical Supplies,Other Drugs,Pharma,Other Pharma,Routine Pharmacy Expense,Other Items (6380),,OTHER ITEMS,Other Items (6380),Other Items ,L4,6380 - Routine Pharmacy Expense,000 - N/A - General,00000 - N/A,Direct,Add
6380,Medical Supplies,Other Drugs,Pharma,Other Pharma,Routine Pharmacy Expense,Other Pharma (6380),,OTHER PHARMA,Other Pharma (6380),Other Pharma ,L4,6380 - Routine Pharmacy Expense,000 - N/A - General,00000 - N/A,Direct,Add
6380,Medical Supplies,Other Drugs,Pharma,Other Pharma,Routine Pharmacy Expense,Pharma - Acetaminophen (6380),,PHARMA - ACETAMINOPHEN,Pharma - Acetaminophen (6380),Pharma - Acetaminophen ,L4,6380 - Routine Pharmacy Expense,000 - N/A - General,00000 - N/A,Direct,Add
6380,Medical Supplies,Other Drugs,Pharma,Other Pharma,Routine Pharmacy Expense,Pharma - Benadryl (6380),,PHARMA - BENADRYL,Pharma - Benadryl (6380),Pharma - Benadryl ,L4,6380 - Routine Pharmacy Expense,000 - N/A - General,00000 - N/A,Direct,Add
6380,Medical Supplies,Other Drugs,Pharma,Other Pharma,Routine Pharmacy Expense,Pharma - Calcium (6380),,PHARMA - CALCIUM,Pharma - Calcium (6380),Pharma - Calcium ,L4,6380 - Routine Pharmacy Expense,000 - N/A - General,00000 - N/A,Direct,Add
6380,Medical Supplies,Other Drugs,Pharma,Other Pharma,Routine Pharmacy Expense,Pharma - Cefepime (6380),,PHARMA - CEFEPIME,Pharma - Cefepime (6380),Pharma - Cefepime ,L4,6380 - Routine Pharmacy Expense,000 - N/A - General,00000 - N/A,Direct,Add
6380,Medical Supplies,Other Drugs,Pharma,Other Pharma,Routine Pharmacy Expense,Pharma - Cefoxitin (6380),,PHARMA - CEFOXITIN,Pharma - Cefoxitin (6380),Pharma - Cefoxitin ,L4,6380 - Routine Pharmacy Expense,000 - N/A - General,00000 - N/A,Direct,Add
6380,Medical Supplies,Other Drugs,Pharma,Other Pharma,Routine Pharmacy Expense,Pharma - Clonidine (6380),,PHARMA - CLONIDINE,Pharma - Clonidine (6380),Pharma - Clonidine ,L4,6380 - Routine Pharmacy Expense,000 - N/A - General,00000 - N/A,Direct,Add
